127.0.0.1 - - [22/Oct/2018:20:27:50 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:27:52 +0900] "GET /studyjsp/ajax/jQTest3.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:27:52 +0900] "GET /studyjsp/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:27:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:28:15 +0900] "GET /studyjsp/ajax/jQTest3.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:28:15 +0900] "GET /studyjsp/ajax/jQTest3.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:28:16 +0900] "GET /studyjsp/ajax/jQTest3.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:29:28 +0900] "GET /studyjsp/ajax/jQTest2.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:29:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:29:32 +0900] "GET /studyjsp/ajax/nvidia.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:29:34 +0900] "GET /studyjsp/ajax/jQTest2.jsp HTTP/1.1" 200 544
